"playerID","yearID","stint","teamID","lgID","W","L","G","GS","CG","SHO","SV","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP"
"aardsda01",2004,1,"SFN","NL",1,0,11,0,0,0,0,32,20,8,1,10,5,0.41,6.75,0,0,2,0,61,5,8,,,
"aardsda01",2006,1,"CHN","NL",3,0,45,0,0,0,0,159,41,24,9,28,49,,4.08,0,1,1,0,225,9,25,,,
"aardsda01",2007,1,"CHA","AL",2,1,25,0,0,0,0,97,39,23,4,17,36,,6.40,3,2,1,0,151,7,24,,,
"aardsda01",2008,1,"BOS","AL",4,2,47,0,0,0,0,146,49,30,4,35,49,,5.55,2,3,5,0,228,7,32,,,
"aardsda01",2009,1,"SEA","AL",3,6,73,0,0,0,38,214,49,20,4,34,80,,2.52,3,2,0,0,296,53,23,,,
"aardsda01",2010,1,"SEA","AL",0,6,53,0,0,0,31,149,33,19,5,25,49,,3.44,5,2,2,0,202,43,19,,,
"aasedo01",1977,1,"BOS","AL",6,2,13,13,4,2,0,277,85,32,6,19,49,0.24,3.12,1,0,1,0,373,0,36,,,
"aasedo01",1978,1,"CAL","AL",11,8,29,29,6,1,0,536,185,80,14,80,93,0.27,4.03,4,3,2,0,773,0,88,,,
"aasedo01",1979,1,"CAL","AL",9,10,37,28,7,1,2,556,200,99,19,77,96,0.27,4.81,7,5,1,0,817,4,104,,,
"aasedo01",1980,1,"CAL","AL",8,13,40,21,5,1,2,525,193,79,13,66,74,0.28,4.06,3,2,1,1,761,6,83,,,
"aasedo01",1981,1,"CAL","AL",4,4,39,0,0,0,11,196,56,17,4,24,38,0.23,2.34,2,1,0,0,265,31,17,,,
"aasedo01",1982,1,"CAL","AL",3,3,24,0,0,0,4,156,45,20,5,23,40,0.24,3.46,2,2,0,0,212,18,20,,,
"aasedo01",1984,1,"CAL","AL",4,1,23,0,0,0,8,117,30,7,1,19,28,0.22,1.62,5,0,0,0,160,17,7,,,
"aasedo01",1985,1,"BAL","AL",10,6,54,0,0,0,14,264,83,37,6,35,67,0.25,3.78,7,0,1,1,366,43,44,,,
"aasedo01",1986,1,"BAL","AL",6,7,66,0,0,0,34,245,71,27,6,28,67,0.23,2.98,2,4,0,0,337,58,29,,,
"aasedo01",1987,1,"BAL","AL",1,0,7,0,0,0,2,24,8,2,1,4,3,0.27,2.25,0,0,0,0,33,6,2,,,
"aasedo01",1988,1,"BAL","AL",0,0,35,0,0,0,0,140,40,21,4,37,28,0.24,4.05,5,1,0,0,209,16,22,,,
"aasedo01",1989,1,"NYN","NL",1,5,49,0,0,0,2,178,56,26,5,26,34,0.24,3.94,3,0,1,1,261,22,27,,,
"aasedo01",1990,1,"LAN","NL",3,1,32,0,0,0,3,114,33,21,5,19,24,0.23,4.97,4,3,0,0,163,13,24,,,
"abadfe01",2010,1,"HOU","NL",0,1,22,0,0,0,0,57,14,6,3,5,12,,2.84,0,0,0,0,76,6,6,,,
"abbeybe01",1892,1,"WSN","NL",5,18,27,23,19,0,1,587,207,75,7,76,77,0.26,3.45,,11,0,0,0,3,139,,,
